"GSM2987594","GSM2987595","GSM2987596","GSM2987597","GSM2987598","GSM2987599","Gene"
8.26,8.34,8.4,8.28,8.34,8.43,"TERF1"
8.59,8.48,8.45,8.37,8.66,8.52,"HGS"
5.54,5.8,5.66,5.75,5.68,5.65,"PART1"
8.47,8.5,8.41,8.37,8.27,8.32,"TRIO"
6.74,6.77,6.37,6.46,6.27,6.79,"PFDN4"
5.85,5.67,5.68,5.55,5.77,5.59,"LOR"
10.15,10.24,10.26,10.16,9.86,10.21,"OSBPL8"
6.97,6.85,6.8,7.03,7.13,7.24,"RND1"
9.7,9.82,9.7,9.63,9.66,9.76,"TRIB1"
9.93,9.82,9.95,10.02,10.01,10.04,"ADNP2"
8.19,8.24,8.31,8.37,8.41,8.42,"RFC3"
8.92,8.73,8.97,8.84,8.9,9,"MNT"
9.72,9.92,9.95,9.73,9.49,9.48,"STXBP3"
6.01,6.32,6.36,6.19,5.85,5.76,"NAIP"
5.86,5.8,5.75,5.66,5.73,5.54,"ATXN2L"
10.82,10.77,10.81,10.77,11.06,10.96,"POLR2I"
10.96,10.4,10.87,10.7,10.44,10.95,"ARHGEF2"
3.68,3.2,3.35,3.25,3.65,3.5,"TNFSF10"
6.65,6.75,7.07,6.68,6.57,6.72,"MRPS14"
10.31,10.25,10.31,10.03,10.39,10.1,"ZNHIT1"
6.21,6.24,6.05,6.15,5.94,6.26,"SELPLG"
8.48,8.34,8.38,8.28,8.47,8.47,"PAF1"
9.17,9.18,9.19,9.12,9.05,9.13,"GEMIN2"
4.4,4.36,4.24,4.22,4.43,4.15,"TNP2"
3.91,3.9,4.11,3.77,3.81,3.88,"FCGR3B"
6.28,5.96,6.23,6.32,6.21,6.2,"FAM47E "
9.61,9.45,9.54,9.51,9.7,9.63,"RBM10"
9.8,9.9,10.02,9.93,9.82,9.84,"RBM25"
5.08,5.43,5.13,5.31,5.24,5.35,"SASH3"
4.78,4.09,4.42,4.31,4.05,4.22,"CDC14A"
11.85,11.88,11.85,11.73,11.99,11.86,"ATP6V0E1"
7.85,7.83,8.08,7.79,7.82,7.86,"NOTCH2"
5.99,6.09,5.95,5.91,6.08,5.84,"CSE1L"
3.74,4.07,3.97,3.69,3.98,3.76,NA
5.86,5.62,5.83,6.06,5.94,6.44,"TP63"
6.03,5.97,6,6.16,6.14,6.36,"TYRP1"
5.43,5.62,5.11,5.56,5.26,5.64,"ACVRL1"
6.32,5.98,5.77,6.23,6.36,6.24,"CCDC106"
