"GSM4027437","GSM4027439","GSM4027441","GSM4027442","GSM4027444","GSM4027446","Symbol"
25827.2,26725,26294.4,27313,25041.6,26949.4,"EEF1A1"
17964.5,16542.2,16393.2,18938,21848.5,23527.9,"GAPDH"
31.4,-6.6,-9.5,5.3,9.3,9.4,"LOC643334"
-8.5,14.6,2.9,18.4,38.3,11.8,"SLC35E2"
11.1,-1.9,5,0.3,-2.7,-9.1,"DUSP22"
-5,-5.8,5,-0.4,13.4,14.9,"LOC642820"
19513.6,17964.5,16004.6,14239.6,21489.2,21261,"RPS28"
37.5,58.6,126.5,73.4,194.5,198,"IPO13"
-5.1,-10.8,-3.5,54.3,0.2,1.4,"TESSP1"
4,9.6,19.2,33.6,-4.3,19.3,"LOC653113"
5.4,10.6,-1.4,-3.7,0.3,-6.3,"AFAP1"
1.5,-7.4,-8.8,-8.7,-3.8,14.1,"GGTLC1"
557.3,520.8,269.4,231.9,766.4,806.2,"CDT1"
-5.2,-4.5,-5.5,-12.6,9.3,-17.4,"TRPV1"
-9.5,-12.8,0.5,6.4,0.9,3.6,"LOC652879"
77.8,98.9,5.3,1.6,358.7,354.8,"LOC644150"
703.2,636.4,1249.6,718.8,13.7,12.5,"LPP"
18.3,27.4,88.5,100.1,37.6,51.4,"FLJ36848"
-8.7,-0.4,-11.9,-7.6,19.1,-7.6,"CCNE2"
9943.1,9666.7,15047.8,14302.6,15617.4,16004.6,"HNRNPAB"
17.2,14.8,15.7,44,22.8,43.8,"LOH12CR1"
293.8,291.6,349.7,329.5,459.2,451.6,"SNIP1"
28.7,20.9,11.3,20,3.6,13.9,"LOC645349"
-23.3,1.3,-8.4,-13.3,-9.3,20.9,"LOC389669"
852.8,1031.6,111.4,81.2,1602.5,1982.8,"COL17A1"
23.3,6.1,23.8,9.7,0,22.8,"BCL6B"
-5.2,-0.2,-2.2,-2.2,-14.3,-3.6,"GRHL1"
36.5,21.8,18.2,4.1,49.7,10.8,"LOC339760"
-14.3,-17.5,-19,-21.1,-22.3,4,"LOC644613"
164.9,108.4,80.1,54.4,284.8,368.4,"LOC143666"
1.9,13.9,16.4,6.3,-11,-4.9,"ATP13A4"
-16.7,-19.6,-12.8,-10.3,-9.7,-7.9,"DIAPH2"
4.3,-19,18.4,-8.6,11.4,3,"MLLT4"
634,709.7,802.1,842.2,762.8,619.3,"HMG20B"
35.6,29.5,6.3,-4.1,2.8,-0.6,"CD69"
-8.7,18.9,6,-9.7,-14.8,-3.4,"LOC653493"
16.3,16.1,66.4,29.6,53.3,17.8,"LAT1-3TM"
-3.7,2.4,-7.2,0.6,59.4,3,"LOC646360"
-14.4,-21.8,-19.4,-26.1,-7.2,-9.1,"KCNG4"
70.7,54.6,47.9,52.5,126.4,121,"MLYCD"
5.4,2.1,40.2,-6.9,17.3,45.6,"UHRF1BP1L"
153.8,124.2,110.5,164.3,464.3,457.8,"LOC401010"
28.8,16.5,20.8,33,75.5,29,"ITGA11"
154.1,179.2,163,137.7,15,11.6,"TICAM2"
1076.1,947.3,1155.6,834.5,432.5,420.9,"SERTAD2"
7.2,6.6,-5.4,-9.5,13.9,23.5,"LOC729444"
7.6,-5.8,11.3,1.2,30.6,-2,"SPP1"
1956,2345.9,-11.5,-2.9,1859.4,1949.4,"HBE1"
30.6,38.7,57.5,55.9,5.1,-3.7,"PCBD2"
-10.9,-21.3,-20,-18.7,-10.2,-10.5,"ZBED2"
-0.2,-6.3,-8,-12.6,-10.3,8.7,"LOC652300"
-16.4,-3.4,35.1,32.7,40,0,"USP21"
-15.8,-17.6,-16.2,-4.1,2.3,1.6,"RHD"
739.6,602.6,445.6,524.4,1328.3,1354.5,"AUP1"
6.8,0.7,10.5,48.6,5.7,10,"LOC644783"
497.9,469.4,576.5,573.2,1268.8,1392.2,"MFN2"
-15,-13.9,7.4,15,12.9,1.6,"LOC645448"
-3.3,-2.3,11.9,-1.9,14.1,-13,"LOC644897"
10,-15.1,16.6,-15.7,3.1,14,"LOC643038"
2.9,23.5,4.8,6.1,49.5,51.8,"LOC642161"
-11.6,-3.7,10.9,16.4,-5.8,13.7,"LILRA6"
1288.2,1153.2,1237.8,1200.4,1647.8,1706.9,"BRD9"
12.3,-13.2,1.8,-10.6,-12.6,1.4,"LOC648934"
1.6,10.2,11.6,-8.6,22.8,-0.3,"DERL3"
6.9,5.5,6.6,3.2,3.3,-3.8,"SYTL2"
549.8,446.8,50.6,60.2,532.7,413.1,"SELM"
-18.6,-10.6,-22.1,-20.5,-13.1,-7.7,"CTRB2"
404.7,398.3,718.5,919.7,130.3,148.3,"DCK"
-4.6,-12.9,11,-14.3,-12.6,4.9,"LOC653148"
2.1,-9.7,-4.3,-1.7,3.4,-7,"FOXI1"
217.1,188.6,191.8,176,554.1,517.5,"ZFPM1"
-3.8,4.9,-2.7,-11.5,0.1,2.7,"LOC651463"
7.2,1.1,27.3,5.2,46.6,21,"LOC652663"
-2.6,-17.3,-15.8,-10.4,-20.7,-12.9,"UTY"
4.8,0.4,-1.6,-1,-6.1,-14.1,"GPR32"
30.6,13.3,19,27,8.9,8.4,"KDM2B"
-15.9,-16.4,7.1,-13.6,-7.6,-14.1,"ALOX5"
3.1,-12.9,-16.7,-8.5,-3.4,7.1,"MMP17"
-8.6,-7.3,-5,-4.9,-6.2,-1.1,"LOC652224"
66.2,68.8,48.1,78.2,9.9,-5.8,"COX11P"
14.6,9.5,-0.8,8.1,14.2,1.4,"LOC644234"
9.5,5.8,10.9,-20.9,-0.3,12.3,"CYP26A1"
3.3,-0.9,3.5,-7.7,3.9,48.2,"WNT2B"
-16.1,3.2,-8.5,-9.5,-14,-9.1,"LOC644824"
129.2,86.9,151.5,149.4,148.7,106.7,"HIST1H2BD"
-2.3,-14.2,61.7,40.3,3.8,-5,"GADD45G"
31.3,3.8,25.6,13.7,10.3,10.9,"ERGIC1"
16.7,8.8,9.5,-6.2,-6.6,-16.2,"ABCD4"
71,60.7,112.2,122.1,357.9,323.6,"FAM193A"
170.1,190.4,72.5,88.5,-9.5,15.8,"NCOA6IP"
139.7,146.1,81.2,107.2,3.9,-1.1,"LOC642732"
19.9,5.7,34.2,8.5,28,20.3,"LOC649500"
765.8,955.1,913.8,864.8,13.6,70,"SKIV2L2"
2.7,-9.1,-16.5,-9.2,14.1,17.7,"LOC648170"
-1.1,2.6,8.9,23,-21.4,-2.9,"LOC644519"
15.6,12.9,-6.6,5.3,8.2,23.9,"TMEM217"
-2.4,-14,-4.9,-19.6,-13.7,-7.4,"GEFT"
37.6,32.7,49.3,42.8,94.3,147.2,"NUMBL"
-7.4,-4.4,3.7,-10.7,-8.3,2.6,"LOC652451"
16.8,20,88.2,78.3,0.3,7.9,"HDAC8"
-1.9,-10.8,-5.6,4,-14.7,-1.6,"SEMA3E"
12,11.3,4,9.3,-0.4,4.2,"RGS5"
647,752.6,970.3,946.9,9.7,36.2,"KDELC2"
-8,-2,-0.7,54.6,-5.9,1.3,"MYO15B"
-0.1,-1.1,-1.5,3.7,25.2,30.9,"LOC650677"
13.8,23.5,16,-2,-0.8,29.5,"WHSC1"
2205.5,2218.4,214.9,178.5,748.4,801.4,"MUC13"
41.4,22.3,32.1,27.8,61.9,2.7,"XRCC2"
13.2,3.5,-7.9,0.5,9.9,42.4,"AQP3"
-9.4,-10.5,9,6.1,19.2,-8.3,"LOC645947"
5.8,6,9.6,-1.9,19.5,-6,"LOC646307"
2.9,9.5,-2.3,27.2,-1.1,-6.8,"LOC643576"
-8.2,-10.1,-12,-16.2,3.5,-19.8,"FBXO44"
-3.7,19.2,11.6,9.2,33.7,6.9,"ENTPD2"
16.3,2.3,-4.4,-5.1,25.3,18.1,"MARK4"
10.4,-9.1,-0.3,-0.8,16.5,12.5,"LOC653210"
-3.3,-2.9,-2.3,8.8,8.2,16.3,"LOC649683"
-8,-5.4,0.9,10.2,1,5.6,"SPRED3"
272.9,260.5,404.1,362.7,345.7,312,"LOC730525"
35.2,17.1,44.7,130.8,15.6,3.6,"CTNNB1"
-7.7,-13.4,-15.7,-15.8,-12.2,0.2,"C6orf201"
228.8,203.8,227.5,261.9,12.9,56.4,"EXOC6"
10.1,25.2,-9,17.5,9.3,-3.6,"CYP2A13"
-2.7,-3.8,-8.1,23.6,23.4,0.5,"CRSP2"
-17.1,-3.3,-9.6,-18.9,10.4,-14,"LOC643069"
