ID_REF	MiaPACA2_EV	MiaPACA2_EV.Detection_Pval	MiaPACA2_ARHGEF10	MiaPACA2_ARHGEF10.Detection_Pval	Hs766T_shGFP	Hs766T_shGFP.Detection_Pval	Hs766T_shARHGEF10	Hs766T_shARHGEF10.Detection_Pval	
ILMN_1802380	489.7	0	12847.3	0	16472.4	0	981.8	0	
ILMN_1792389	120.5	0.05862	270.5	0.58621	3423.4	0	180.8	0.00345	
ILMN_3308818	109.3	0.51034	396.3	0.00345	418.6	0.01034	130.1	0.33448	
ILMN_3242405	2583.6	0	24169.2	0	29298.9	0	6584.5	0	
ILMN_2375156	158.9	0	1589.8	0	1221	0	226.4	0	
ILMN_1697642	1124.1	0	20368.2	0	23760.4	0	2623.8	0	
ILMN_1788184	127.2	0.01034	404.5	0.00345	318	0.26897	138	0.18276	
ILMN_1681845	1390.9	0	7030.4	0	5983.8	0	989.2	0	
ILMN_1690979	114.6	0.21034	277.9	0.45517	321.5	0.24138	125.7	0.47241	
ILMN_1811114	119.9	0.07241	276.5	0.47931	336.9	0.13448	124.5	0.50345	
ILMN_1660729	134.7	0	454.2	0	454.5	0.01034	169	0.01379	
ILMN_1791820	655.4	0	4409.5	0	3812.8	0	707.7	0	
ILMN_2129572	338.9	0	2828.1	0	21810.7	0	846.4	0	
ILMN_1705659	116.6	0.15172	241.3	0.96897	335.1	0.14138	118.6	0.72759	
ILMN_3309184	109.2	0.51379	314.5	0.06552	272.1	0.91724	118.1	0.75517	
ILMN_1674774	116.6	0.15172	346.1	0.01034	452.5	0.01034	119.1	0.6931	
ILMN_1702329	110.2	0.47241	270.1	0.58621	310.5	0.35517	151.5	0.04138	
ILMN_1658806	111.7	0.36897	299.4	0.16207	310.6	0.35517	128.3	0.36552	
ILMN_2310896	113.3	0.26897	410	0.00345	1371.8	0	148.5	0.05517	
ILMN_3238196	120.1	0.06897	263.3	0.71034	340.6	0.12069	122.4	0.58276	
ILMN_2109994	184.2	0	2151.6	0	4939.4	0	386.5	0	
ILMN_1745256	167.4	0	1728.3	0	5464	0	312.3	0	
