"","GENE_SYMBOL","UL_mean","nonUL_mean","DE_UL","Magnitude","FoldChange_UL"
"HSPB1","HSPB1",8280.58142857143,14943.0215686275,-6662.44014005602,6662.44014005602,0.554143711199367
"DSTN","DSTN",6076.82928571429,11884.8496732026,-5808.02038748833,5808.02038748833,0.511308889284148
"S100A6","S100A6",2816.05785714286,8195.67843137255,-5379.62057422969,5379.62057422969,0.343602775624183
"CNN1","CNN1",17676.9942857143,23023.1352941176,-5346.14100840336,5346.14100840336,0.767792659856834
"ACTG2","ACTG2",15957.4878571429,21175.3911764706,-5217.90331932773,5217.90331932773,0.753586449674391
"VIM","VIM",6266.28285714286,11264.2147058824,-4997.9318487395,4997.9318487395,0.556300019198895
"SPARCL1","SPARCL1",10856.3171428571,15836.8039215686,-4980.48677871149,4980.48677871149,0.685511874531172
"TPM2","TPM2",5408.77428571429,10356.3490196078,-4947.57473389356,4947.57473389356,0.522266512597615
"ACTA2","ACTA2",10543.2985714286,15396.0944444444,-4852.79587301587,4852.79587301587,0.684803448658572
"PCP4","PCP4",6797.8,1952.95882352941,4844.84117647059,4844.84117647059,3.48076975208056
"TAGLN","TAGLN",11429.0742857143,16150.8307189542,-4721.75643323996,4721.75643323996,0.707646218612237
"DES","DES",5577.17071428571,10284.4264705882,-4707.25575630252,4707.25575630252,0.542292827921471
"RAMP1","RAMP1",6534.41142857143,10713.0294117647,-4178.61798319328,4178.61798319328,0.609949919618026
"CYR61","CYR61",1536.31928571429,5689.54967320262,-4153.23038748833,4153.23038748833,0.270024760122975
"UBC","UBC",11071.6689285714,15103.3892156863,-4031.72028711485,4031.72028711485,0.733058571851702
"ACTB","ACTB",11966.9137857143,15956.7439542484,-3989.83016853408,3989.83016853408,0.749959629610286
"HBB","HBB",901.619761904762,4870.6341503268,-3969.01438842203,3969.01438842203,0.185113423442873
"RPS27","RPS27",12100.0092857143,16051.068627451,-3951.05934173669,3951.05934173669,0.753844467714786
"CD63","CD63",7692.69,11363.5107843137,-3670.82078431373,3670.82078431373,0.676964201118114
"DUSP1","DUSP1",958.66880952381,4556.29444444444,-3597.62563492064,3597.62563492064,0.21040536804919
"RPS11","RPS11",4254.95142857143,7831.73725490196,-3576.78582633053,3576.78582633053,0.543295987861214
"LGALS1","LGALS1",11529.9357142857,14748.7784313725,-3218.84271708683,3218.84271708683,0.781755300476959
"EIF1","EIF1",6633.92765306122,9779.96998132586,-3146.04232826464,3146.04232826464,0.678317792971576
"MGP","MGP",6810.87928571429,9754.46470588235,-2943.58542016807,2943.58542016807,0.698231988230686
"COL3A1","COL3A1",8266.99428571429,5363.89395424837,2903.10033146592,2903.10033146592,1.54123000123195
"GSN","GSN",2208.57833333333,5057.06993464052,-2848.49160130719,2848.49160130719,0.436730826719391
"C10orf116","C10orf116",953.868571428571,3764.5,-2810.63142857143,2810.63142857143,0.253385196288636
"C1S","C1S",1351.99285714286,4135.35490196078,-2783.36204481793,2783.36204481793,0.326935145639329
"DCN","DCN",4711.93091836735,7494.21932773109,-2782.28840936374,2782.28840936374,0.628742062689792
"PTRF","PTRF",3009.08738095238,5686.07941176471,-2676.99203081233,2676.99203081233,0.529202489632218
"SFRP4","SFRP4",3887.34,1257.7,2629.64,2629.64,3.09083247197265
"SOD3","SOD3",944.8,3459.22352941176,-2514.42352941176,2514.42352941176,0.273124876714938
"RPL11","RPL11",10622.2685714286,13116.2549019608,-2493.98633053221,2493.98633053221,0.809855301747806
"PRDX6","PRDX6",5311.83642857143,2820.88725490196,2490.94917366947,2490.94917366947,1.88303748026117
"MT2A","MT2A",2062.5,4515.63594771241,-2453.13594771241,2453.13594771241,0.456746297505415
"RGS2","RGS2",2735.51,5149.96470588235,-2414.45470588235,2414.45470588235,0.531170630524024
"IGFBP7","IGFBP7",8142.02380952381,10505.2653594771,-2363.24154995331,2363.24154995331,0.775042184172783
"PRNP","PRNP",3198.065,5541.43529411765,-2343.37029411765,2343.37029411765,0.57711853161848
"JUND","JUND",1853.00785714286,4185.91552287582,-2332.90766573296,2332.90766573296,0.442676840231549
"RPS23","RPS23",9081.575,11395.1647058824,-2313.58970588235,2313.58970588235,0.796967418585176
"ADRA2C","ADRA2C",197.177142857143,2495.63529411765,-2298.4581512605,2298.4581512605,0.079008797207629
"LMCD1","LMCD1",434.69619047619,2665.85359477124,-2231.15740429505,2231.15740429505,0.163060788982859
"SFRP1","SFRP1",3487.1805952381,1297.78839869281,2189.39219654528,2189.39219654528,2.68701785187057
"RPS16","RPS16",8796.13571428571,10959.6637254902,-2163.52801120448,2163.52801120448,0.802591752320601
"RPS6","RPS6",12595.6778571429,14743.4617647059,-2147.78390756303,2147.78390756303,0.854322957400375
"A2M","A2M",5948.24714285714,8093.50882352941,-2145.26168067227,2145.26168067227,0.734940465569695
"TCEAL4","TCEAL4",5306.75142857143,7414.2862745098,-2107.53484593837,2107.53484593837,0.71574676672736
"TXNIP","TXNIP",3723.83761904762,5821.59346405229,-2097.75584500467,2097.75584500467,0.639659509383799
"TGFBI","TGFBI",4291.96571428571,2201.08235294118,2090.88336134454,2090.88336134454,1.94993418058648
"IFITM2","IFITM2",4451.01428571429,6488.11960784314,-2037.10532212885,2037.10532212885,0.686025313148311
"BCAM","BCAM",2800.595,4826.1862745098,-2025.5912745098,2025.5912745098,0.580291526415329
"ZFP36","ZFP36",787.038571428571,2776.29411764706,-1989.25554621849,1989.25554621849,0.283485300215812
"MYH11","MYH11",11938.7226020408,13919.1246498599,-1980.40204781913,1980.40204781913,0.857720790808563
"COL6A3","COL6A3",6533.00642857143,4559.9431372549,1973.06329131653,1973.06329131653,1.43269471393109
"SPARC","SPARC",9774.53357142857,7855.88431372549,1918.64925770308,1918.64925770308,1.24423084417764
"ISOC1","ISOC1",3607.24571428571,1711.9862745098,1895.25943977591,1895.25943977591,2.10705294078283
"JUN","JUN",1123.58642857143,2979.32156862745,-1855.73514005602,1855.73514005602,0.377128283298757
"RPS19","RPS19",9492.96380952381,7646.82091503268,1846.14289449113,1846.14289449113,1.24142619723993
"RPL37A","RPL37A",7836.67023809524,9639.75424836601,-1803.08401027077,1803.08401027077,0.8129533218571
"IFITM3","IFITM3",5128.855,6926.33823529412,-1797.48323529412,1797.48323529412,0.740485784229422
"IER2","IER2",1228.77571428571,2994.75490196078,-1765.97918767507,1765.97918767507,0.410309275554131
"PAGE4","PAGE4",2206.97428571429,459.8,1747.17428571429,1747.17428571429,4.79985708071833
"FOS","FOS",563.092857142857,2308.0137254902,-1744.92086834734,1744.92086834734,0.24397292395792
"RPS28","RPS28",6889.14404761905,8630.7,-1741.55595238095,1741.55595238095,0.798213823631808
"LGALS3","LGALS3",1530.96857142857,3219.05882352941,-1688.09025210084,1688.09025210084,0.475595090166759
"CHRDL1","CHRDL1",4609.02142857143,2940.9931372549,1668.02829131653,1668.02829131653,1.5671649723309
"CRTC1","CRTC1",1602.23071428571,3253.19215686274,-1650.96144257703,1650.96144257703,0.492510321256536
"SEPW1","SEPW1",4715.97428571429,6355.30490196078,-1639.3306162465,1639.3306162465,0.742053191540706
