"GSM1583284","GSM1583285","GSM1583286","GSM1583287","GSM1583288","GENE_SYMBOL"
4.502165,4.086097,3.8662913,4.370948,4.097167,"GABRD"
10.377136,10.460963,9.580763,11.209078,9.750911,"ELFN1"
7.505335,7.187651,8.200937,6.2741075,8.88769,"SPNS2"
12.413367,12.383116,12.364208,12.358539,12.389383,"MFN2"
5.189373,4.482099,3.785548,4.239012,4.115933,"HDAC11"
4.0707684,3.7959948,5.1146665,2.4029229,5.655032,"IFT81"
2.332352,2.3459494,2.3226223,3.38309,2.3246098,"CAPZB"
8.303541,8.470583,9.115588,8.260057,9.237897,"TARDBP"
8.793797,8.62412,9.624491,8.000119,9.756544,"TMEM128"
4.036225,5.390893,4.09006,2.4029229,4.678552,"MINK1"
6.5926886,8.416697,6.6689014,8.026228,5.8108892,"RAB20"
2.7535765,3.0147142,2.3700175,2.4029229,3.23631,"TCF7"
16.119308,16.161459,15.845555,16.186502,15.997573,"RPL12"
9.65061,10.490516,8.959829,11.026929,7.820471,"PAGE1"
7.4006395,6.447179,7.6006117,6.7039433,7.7348986,"FBXW8"
6.164949,5.819534,5.695737,5.7331614,5.9635935,"DNAJC5G"
2.7448833,4.362852,2.4350252,4.600379,3.0651228,"NLGN1"
2.7317266,4.079715,3.8117943,2.4029229,2.3246098,"RAPGEF6"
2.332352,2.3459494,2.322009,2.4029229,3.1084802,"PCDHGB1"
6.2789693,7.0128207,5.8700576,6.5766516,5.522819,"ST3GAL4"
3.420616,3.820998,3.90156,2.4029229,4.759078,"STK4"
4.8701,5.094525,5.472347,5.0599303,6.190052,"ACVR1C"
7.7422132,7.2336626,7.027099,5.7708325,6.465862,"PAK2"
3.0004594,2.798102,2.6858966,3.1691191,2.6164634,"SPATA22"
7.8362994,8.874736,6.715769,8.145504,6.80826,"TMEM2"
3.4276597,3.7007964,3.8270817,3.8034017,4.0852714,"SLC8A1"
10.102992,9.990439,10.573702,9.785487,10.537416,"SNRNP27"
9.237129,8.888403,9.926708,8.433276,10.389931,"EIF5"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"DLX6"
10.10554,9.882923,10.713089,9.018765,10.643387,"LOC400043"
2.332352,2.3459494,2.322009,2.4029229,2.3925347,"HEATR7B1"
7.246906,7.495266,7.848718,6.6960974,7.8810525,"TFCP2"
11.249375,11.188349,11.472422,11.203987,11.6717615,"PPP1CB"
3.6143322,3.705342,3.7806818,4.282317,3.1777532,"LOC100506955"
4.145054,3.7475233,4.108171,4.3063345,3.1304488,"ARHGEF37"
5.1717067,4.9218516,5.193969,4.367677,5.1239862,"TXNL4B"
7.4759502,7.16444,6.8319283,8.074903,6.9869184,"DUSP8"
3.917667,3.7512968,3.908743,4.2676945,3.2169223,"EFNA2"
5.347252,5.2666893,4.8783417,6.158795,4.958578,"PRDM15"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"GABRG3"
8.396783,8.83906,8.124574,7.9069333,8.358879,"PPP2R5B"
2.332352,2.3459494,3.9903274,3.6466238,5.8142605,"BHLHE22"
10.588552,10.011565,10.630652,10.056298,10.570005,"CSRP2BP"
2.7386289,2.3459494,2.322009,4.3183613,3.1829786,"SULT1C2"
9.616098,9.540656,9.322794,9.752031,9.58475,"KANK2"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"ASB4"
8.475459,8.408649,8.405512,8.104859,8.573076,"TMEM104"
10.948931,10.706474,10.491438,10.456678,10.821541,"SDHA"
9.511511,9.958265,8.945509,9.266855,8.942499,"DDX11"
5.6791415,6.003748,6.7097583,4.4187546,6.0114183,"TRAK2"
3.4209335,2.3459494,2.925754,3.4127223,2.718688,"TAS2R46"
