"GENE_SYMBOL","UL_mean","nonUL_mean","gliomaMeans","gliomaMeans_CBD","sebumMeans","sebum_CBDtreated_Means","pancreaticMeans","DE_incr_ARHGFE10_pancr","DE_decr_ARHGFE10_pancr","FC_incr_ARHGFE10_pancr","FC_decr_ARHGFE10_pancr"
"A2M",5948.24714285714,8093.50882352941,10.8406433333333,10.8046,3.0299,3.490365,6296.6,-5927.5,430.8,0.0586189372042054,1.24484228473998
"A4GALT",44.2214285714286,73.0196078431373,7.09432666666667,7.20714666666667,7.6572,7.418782,162,248.3,-3507.3,2.53271604938272,0.315608718559135
"A4GNT",27.3414285714286,32.7098039215686,5.18194,5.13264,2.8053,2.975039,106.9,208.6,-197.2,2.95135640785781,0.388147688488985
"AAAS",139.292857142857,121.917647058824,10.1339833333333,10.2785333333333,9.1439,9.059591,152.4,1101.2,-1422.1,8.2257217847769,0.178214388904941
"AACS",165.797142857143,136.758823529412,8.41882333333333,8.54506666666667,10.0564,9.731441,269.3,4464.6,-4952.9,17.578536947642,0.0759170118287996
"AADAC",10.2342857142857,11.7117647058824,3.22125333333333,3.29448,3.3128,3.211379,129.7,204,-748.6,2.57286044718581,0.323696810913362
"AAK1",122.604054421769,110.705396825397,9.80721333333333,9.17737666666667,5.0197,5.505391,354.15,4620.25,-3661.6,14.0460256953268,0.0579881656804734
"AANAT",11.8771428571429,16.1019607843137,6.62147666666667,6.67159666666667,6.1496,6.185965,117.1,123,-124.8,2.05038428693424,0.503579952267303
"AARS",661.084285714286,526.276470588235,11.6032,10.9841,9.477,10.397494,5104.5,24282.5,-27778.4,5.75707708884318,0.147852175433538
"AASDHPPT",351.49119047619,290.602614379085,10.6023,10.7155333333333,10.0676,9.771983,2137.6,7542.4,-9883.7,4.52844311377246,0.179878023482554
"AASS",72.4321428571429,94.5901960784314,10.4679666666667,10.6558333333333,5.248,5.52139,173.35,1065.3,-2772.5,7.14537063743871,0.136023683390464
"AATF",276.573571428571,306.130392156863,10.8933333333333,10.7690666666667,10.7746,10.919463,3718,17004.5,-17052.7,5.57356105433028,0.3186850506011
"AATK",49.1585714285714,58.8013071895425,7.58287666666667,7.67163666666667,5.248,6.330562,134,387.1,-181.95,3.88880597014925,0.406168407310705
"ABAT",69.8857142857143,58.2486928104575,9.64489,10.5500366666667,6.4664,6.827573,278.766666666667,2981.76666666667,-555.166666666667,11.6962812387899,0.197620079973021
"ABCA1",87.5767857142857,107.363071895425,9.62264666666667,8.74777,5.7002,6.311136,2791.4,7892.1,-6330.4,3.82729096510711,0.500619256103814
"ABCA12",7.06428571428571,8.8843137254902,5.93590333333333,5.89763333333333,6.4274,6.294948,113.15,166.15,-364.45,2.46840477242598,0.25637624974495
"ABCA2",30.4095238095238,32.4647058823529,8.91997666666667,9.12372333333333,6.5502,6.366137,208.1,1991.55,-2497.7,10.5701585776069,0.121054298483302
"ABCA3",61.0028571428571,72.8019607843137,9.51446666666667,9.48206666666667,4.7562,5.097623,438.2,7142.1,-4383.6,17.2987220447284,0.0774281805745554
"ABCA4",7.41071428571429,12.1990196078431,5.90514,5.71849,5.0968,3.490365,142.4,429.7,-505.8,4.01755617977528,0.205341712490181
"ABCA6",27.2671428571429,70.1039215686275,5.22147,5.14634,3.0299,3.211379,140.5,232.85,-5403.1,2.65729537366548,0.135628469500392
"ABCA7",36.1228571428571,38.3803921568627,7.07095333333333,7.05458666666667,7.0704,7.006016,127.666666666667,1646.26666666667,-833.1,13.8950391644909,0.135459545470269
"ABCA8",57.9342857142857,178.402614379085,7.55489333333333,8.09135333333333,2.5009,2.593155,186.1,731.6,-226.05,4.93121977431488,0.391357027463651
