"Gene","BRCNCR_CTRL_Mean","BRCNCR_SH3GL2_Mean","UL_mean","nonUL_mean","gliomaMeans","gliomaMeans_CBD","sebumMeans","sebum_CBDtreated_Means","pancreaticMeans","DE_incr_ARHGFE10_pancr","DE_decr_ARHGFE10_pancr","FC_incr_ARHGFE10_pancr","FC_decr_ARHGFE10_pancr","colon_cncr_ctrl_Mean","colon_cncr_LGR51_loss_Mean","colon_cncr_LGR52_loss_Mean","Stomach_Cancer_Blood_Mean","Stomach_Blood_Ctrl_Mean"
"AADAC",7,7.02333333333333,10.2342857142857,11.7117647058824,3.22125333333333,3.29448,3.3128,3.211379,129.7,204,-748.6,2.57286044718581,0.323696810913362,3,-3.15,7.95,3.4371999,2.5351028
"AAK1",5.11333333333333,5.06666666666667,122.604054421769,110.705396825397,9.80721333333333,9.17737666666667,5.0197,5.505391,354.15,4620.25,-3661.6,14.0460256953268,0.0579881656804734,6.91666666666667,41.8833333333333,-1.98333333333333,5.57555510833333,3.5782773
"AAK1",5.11333333333333,5.06666666666667,122.604054421769,110.705396825397,9.80721333333333,9.17737666666667,5.0197,5.505391,354.15,4620.25,-3661.6,14.0460256953268,0.0579881656804734,6.91666666666667,41.8833333333333,-1.98333333333333,5.57555510833333,12.29656
"AAK1",5.11333333333333,5.06666666666667,122.604054421769,110.705396825397,9.80721333333333,9.17737666666667,5.0197,5.505391,354.15,4620.25,-3661.6,14.0460256953268,0.0579881656804734,6.91666666666667,41.8833333333333,-1.98333333333333,5.57555510833333,3.171719
"AANAT",4.34,4.45,11.8771428571429,16.1019607843137,6.62147666666667,6.67159666666667,6.1496,6.185965,117.1,123,-124.8,2.05038428693424,0.503579952267303,-5.2,-13.25,-3.1,4.572818475,5.1069436
"AANAT",4.34,4.45,11.8771428571429,16.1019607843137,6.62147666666667,6.67159666666667,6.1496,6.185965,117.1,123,-124.8,2.05038428693424,0.503579952267303,-5.2,-13.25,-3.1,4.572818475,5.1069436
"AARS",10.89,10.9133333333333,661.084285714286,526.276470588235,11.6032,10.9841,9.477,10.397494,5104.5,24282.5,-27778.4,5.75707708884318,0.147852175433538,7207.75,2984,4754.25,7.600493275,6.823499
"AASDHPPT",10.79,10.95,351.49119047619,290.602614379085,10.6023,10.7155333333333,10.0676,9.771983,2137.6,7542.4,-9883.7,4.52844311377246,0.179878023482554,594.6,805.625,29.75,8.423697,8.648694
"AASS",5.92333333333333,5.67,72.4321428571429,94.5901960784314,10.4679666666667,10.6558333333333,5.248,5.52139,173.35,1065.3,-2772.5,7.14537063743871,0.136023683390464,66.775,27.775,12.25,5.32122155,6.725503
"AATF",9.90333333333333,10.0366666666667,276.573571428571,306.130392156863,10.8933333333333,10.7690666666667,10.7746,10.919463,3718,17004.5,-17052.7,5.57356105433028,0.3186850506011,718.6,579.85,1096.9,10.74573,11.339667
"AATK",7.51666666666667,7.57,49.1585714285714,58.8013071895425,7.58287666666667,7.67163666666667,5.248,6.330562,134,387.1,-181.95,3.88880597014925,0.406168407310705,28.4166666666667,26.8666666666667,69.3666666666667,2.70860005,2.3246098
"ABCA1",5.61333333333333,5.09,87.5767857142857,107.363071895425,9.62264666666667,8.74777,5.7002,6.311136,2791.4,7892.1,-6330.4,3.82729096510711,0.500619256103814,-7.9,-0.1,-20.95,2.408558225,2.3246098
"ABCA2",7.6,7.66,30.4095238095238,32.4647058823529,8.91997666666667,9.12372333333333,6.5502,6.366137,208.1,1991.55,-2497.7,10.5701585776069,0.121054298483302,33.85,41.55,120.775,7.23100882,5.961893
