"GENE_SYMBOL","UL_mean","nonUL_mean","pancreaticMeans","sebumMeans","gliomaMeans"
"A2M",5948.24714285714,8093.50882352941,6296.6,3.0299,10.8406433333333
"A4GALT",44.2214285714286,73.0196078431373,162,7.6572,7.09432666666667
"A4GNT",27.3414285714286,32.7098039215686,106.9,2.8053,5.18194
"AAAS",139.292857142857,121.917647058824,152.4,9.1439,10.1339833333333
"AACS",165.797142857143,136.758823529412,269.3,10.0564,8.41882333333333
"AADAC",10.2342857142857,11.7117647058824,129.7,3.3128,3.22125333333333
"AAK1",122.604054421769,110.705396825397,354.15,5.0197,9.80721333333333
"AANAT",11.8771428571429,16.1019607843137,117.1,6.1496,6.62147666666667
"AARS",661.084285714286,526.276470588235,5104.5,9.477,11.6032
"AASDHPPT",351.49119047619,290.602614379085,2137.6,10.0676,10.6023
"AASS",72.4321428571429,94.5901960784314,173.35,5.248,10.4679666666667
"AATF",276.573571428571,306.130392156863,3718,10.7746,10.8933333333333
"AATK",49.1585714285714,58.8013071895425,134,5.248,7.58287666666667
"ABAT",69.8857142857143,58.2486928104575,278.766666666667,6.4664,9.64489
"ABCA1",87.5767857142857,107.363071895425,2791.4,5.7002,9.62264666666667
"ABCA12",7.06428571428571,8.8843137254902,113.15,6.4274,5.93590333333333
"ABCA2",30.4095238095238,32.4647058823529,208.1,6.5502,8.91997666666667
"ABCA3",61.0028571428571,72.8019607843137,438.2,4.7562,9.51446666666667
"ABCA4",7.41071428571429,12.1990196078431,142.4,5.0968,5.90514
"ABCA6",27.2671428571429,70.1039215686275,140.5,3.0299,5.22147
"ABCA7",36.1228571428571,38.3803921568627,127.666666666667,7.0704,7.07095333333333
"ABCA8",57.9342857142857,178.402614379085,186.1,2.5009,7.55489333333333
"ABCB1",60.5264285714286,105.692156862745,113.5,4.048,6.31004666666667
"ABCB11",6.45,7.38529411764706,113.4,2.9373,5.24351
"ABCB7",201.71,206.864705882353,457.7,8.1393,9.91155666666667
"ABCC10",190.353571428571,158.699019607843,473.2,6.7039,8.29492666666667
"ABCC2",5.63857142857143,9.06960784313726,180.3,4.2543,6.32183666666667
"ABCC3",23.5137142857143,21.8449019607843,169.9,9.0062,6.62951
"ABCC4",32.7030952380952,48.2841503267974,648.6,5.3198,9.19074333333333
"ABCC5",160.12119047619,163.313725490196,515.733333333333,8.7066,8.56172666666667
"ABCC8",14.6614285714286,27.0254901960784,116.3,4.3412,7.20981
"ABCC9",55.7882857142857,63.5671895424837,121.933333333333,3.3128,4.94345
"ABCD1",133.488571428571,148.019607843137,390.2,6.8853,8.09296333333333
"ABCD2",17.9171428571429,16.7647058823529,111.65,2.6756,7.00595
"ABCD3",206.050714285714,213.625490196078,148.1,8.5034,10.08493
"ABCD4",126.030714285714,131.730392156863,143.9,8.4579,8.51132
"ABCE1",256.907857142857,237.573529411765,613.75,11.1252,9.96116
"ABCF2",107.806714285714,100.496666666667,864.733333333333,8.9969,10.0296333333333
"ABCF3",153.39,157.817647058824,346.7,10.7192,10.5220333333333
"ABCG2",914.941428571429,824.46862745098,124.3,10.9116,7.52650666666667
"ABCG4",35.96,39.4274509803922,154.1,5.9762,7.40789333333333
"ABCG5",8.99,8.34901960784314,115.2,3.9241,5.77107333333333
"ABHD10",197.824761904762,203.383986928105,1254.7,5.6737,9.13738333333333
"ABHD11",75.5314285714286,87.759477124183,190.633333333333,11.306,9.84868333333333
"ABHD2",83.4276428571428,106.857810457516,136.933333333333,4.9022,10.6253
"ABHD3",54.3128571428571,56.0294117647059,1269.5,7.4525,8.64862
"ABHD4",263.003571428571,268.132352941176,315.9,9.6187,10.4625333333333
"ABHD5",66.0515476190476,65.5437908496732,203.1,8.3857,10.9744
"ABHD6",110.258928571429,107.547549019608,1307.3,8.8415,9.32691666666667
"ABHD8",53.14,39.6274509803922,128.8,7.3987,8.00620333333333
"ABI2",226.609464285714,208.913970588235,1129.33333333333,9.4819,11.6617
"ABL1",637.942571428571,585.143529411765,463.233333333333,5.0968,10.1553
"ABLIM3",48.0407142857143,128.871568627451,130.7,6.5305,7.94174
"ABO",14.7721428571429,18.55,194.7,3.1484,7.24048333333333
"ABR",454.789285714286,663.903921568627,778.533333333333,10.701,10.5402666666667
"ABT1",132.865714285714,129.6,287.9,6.5358,8.62519666666667
"ABTB2",82.5635714285714,107.362745098039,117,8.7321,7.67098333333333
"ACAA1",221.167142857143,219.880392156863,612.5,8.1769,8.57146
"ACAA2",204.62619047619,194.533660130719,7289.8,10.7825,8.65206333333333
"ACACA",122.162857142857,92.1774509803922,913.4,6.3226,9.57382
"ACACB",109.94130952381,143.962254901961,254.2,4.2709,6.83109
"ACAD8",149.325714285714,126.985294117647,416.35,7.6572,9.76350666666667
"ACADL",9.13142857142857,14.2039215686275,107.7,3.1484,5.57148333333333
"ACADS",63.96,64.1490196078431,201.9,5.6134,8.51417
"ACADSB",79.1742857142857,72.0885620915033,130.1,4.3242,7.88052
"ACADVL",1481.68714285714,1859.3,2189.36666666667,13.6975,10.308
"ACAP2",191.108095238095,194.133333333333,837.2,7.7346,10.4848666666667
"ACAT1",587.826428571429,727.772549019608,11950.5,7.4396,9.26235333333333
"ACAT2",168.490714285714,162.294117647059,3917,10.8621,9.35380333333333
"ACBD3",315.095714285714,284.064705882353,1233.3,7.6763,11.1171333333333
"ACE",40.4561904761905,51.674183006536,141.7,4.1028,6.62016
"ACE2",12.1928571428571,16.3578431372549,112.2,4.3757,5.63761333333333
"ACHE",19.4919047619048,16.5529411764706,129.9,6.1404,7.97916
"ACIN1",221.001428571429,196.721568627451,455,7.7503,9.32040666666667
"ACN9",95.09,48.0921568627451,282.4,9.3443,7.48201
"ACO1",285.984285714286,350.588235294118,1391,10.5557,10.7683333333333
"ACO2",376.050714285714,400.626470588235,139.1,12.6125,11.1029333333333
"ACOT11",37.8194047619048,33.6416666666667,203.35,8.9502,7.11991666666667
"ACOT8",72.8335714285714,74.0725490196078,145.2,9.4613,9.11369
"ACOT9",528.348571428571,629.319607843137,2243.15,11.2676,10.1737
"ACOX1",101.621547619048,92.5395424836601,196.533333333333,8.363,9.95985666666667
"ACOX2",310.628571428571,309.3,689.3,6.2713,6.52848666666667
"ACOX3",56.3764285714286,54.6411764705882,111,5.6871,8.82262333333333
"ACOXL",7.88428571428571,8.61176470588235,134.1,4.2898,5.06186333333333
"ACP1",336.561428571429,280.124019607843,4724.7,10.7199,10.8987666666667
"ACP2",137.551428571429,123.102941176471,747.2,6.2316,10.6411333333333
"ACP6",107.548571428571,114.219607843137,3913.1,6.3147,8.81801666666667
"ACPP",12.3854761904762,14.3627450980392,185.6,3.9799,5.75049333333333
"ACR",27.2342857142857,29.6303921568627,108.1,4.9022,6.37407
"ACSBG2",17.9842857142857,20.0960784313725,104.7,4.064,5.57783
"ACSF2",66.7471428571429,55.5372549019608,210.2,9.2416,7.69217333333333
"ACSL1",257.486428571429,264.748039215686,201.5,9.0195,8.74663
"ACSL3",270.801904761905,273.291830065359,2157.36666666667,8.9092,10.7841
"ACSL4",58.252380952381,98.2339869281046,491.475,7.2109,8.54775
"ACSL5",51.2757142857143,120.991176470588,462.8,4.3242,6.3774
"ACSM1",10.7042857142857,18.8019607843137,97.4,3.1484,5.77862
"ACSS3",70.2442857142857,142.639215686274,119.4,3.5271,9.02838333333333
"ACTA1",25.0142857142857,19.2823529411765,104.4,2.8053,8.48031
"ACTA2",10543.2985714286,15396.0944444444,6671.9,7.3421,7.54883333333333
"ACTB",11966.9137857143,15956.7439542484,18559.15,14.2832,13.3613
"ACTC1",3835.42571428571,2572.44215686274,123.5,4.6492,6.42206666666667
"ACTG2",15957.4878571429,21175.3911764706,408.1,4.9886,6.70261
"ACTL6A",328.265714285714,323.925490196078,3832.85,12.1385,9.83649666666667
