"","GSM1399027.CBD","GSM1399028.CTRL","GSM1399029.CBD","GSM1399030.CTRL","GSM1399031.CBD","GSM1399032.CTRL"
"1",4.25219,4.17729,4.21005,4.54855,3.93765,4.05734
"2",8.44032,8.34886,7.4597,8.61585,9.00796,9.61274
"3",5.51073,5.59806,5.64342,6.11704,5.71558,5.59085
"4",9.46473,9.37836,8.68339,8.74824,10.3621,10.1098
"5",8.89803,8.72009,9.44431,10.2497,8.44699,9.08946
"6",5.62236,5.01002,4.14873,4.18302,5.08397,5.25749
"7",10.7171,9.85145,9.84735,8.83597,10.2841,10.0122
"8",6.72497,6.55808,6.72544,7.64546,7.14919,6.98898
"9",6.33149,6.48791,6.56405,6.63386,6.28428,6.0639
"10",8.28933,8.20092,7.98159,7.20795,8.20965,8.32864
"11",7.40817,7.38334,7.92114,7.70546,7.42823,7.23281
"12",7.84188,7.8062,8.15248,8.03922,7.79133,7.73774
"13",7.72586,7.76265,7.73363,7.68635,7.47766,7.5362
"14",7.53557,7.76535,9.42341,8.10173,7.70091,7.43439
"15",8.88942,8.7836,10.1918,9.59902,9.29625,8.86309
"16",7.10922,6.90599,7.28316,7.1676,6.76029,6.67804
"17",4.8505,4.84686,5.29058,4.73707,4.81678,4.79915
"18",6.63405,6.67386,6.81209,6.74013,6.16161,6.30928
"19",8.02311,7.86041,8.38706,8.19654,7.90463,7.6868
"20",8.78876,8.83092,8.89569,8.78145,8.72371,8.8284
"21",7.56968,7.65171,8.02646,7.87091,7.2762,7.24253
"22",9.84626,9.63832,9.12927,8.68301,8.65606,8.19673
"23",8.08505,8.01585,8.18635,8.26603,8.07807,8.30555
"24",7.32938,7.4,7.65171,7.57884,7.2619,7.1455
"25",8.43311,8.25858,8.41317,8.17549,8.02175,7.68319
"26",7.60722,7.67337,7.63075,7.62889,7.25289,7.1961
"27",9.79223,9.77707,9.70756,9.89633,9.74438,9.49877
"28",9.00913,9.0253,9.14993,9.20186,8.62962,8.31793
"29",7.2706,7.2581,7.28408,7.58743,6.97852,7.14674
"30",8.35046,8.22291,8.67511,8.53595,8.08631,8.29989
"31",8.14783,8.24101,8.57211,8.49407,8.01467,7.86187
"32",6.62922,6.5943,6.85849,6.63207,6.41515,6.34469
"33",8.0669,8.04301,8.22269,8.2095,7.72419,7.79389
"34",8.73925,8.5713,7.90004,7.26968,8.71327,8.85245
"35",6.88044,6.90747,7.50981,7.21924,6.85289,6.72698
"36",10.1562,10.194,10.8134,10.7694,10.4829,10.3101
"37",7.09533,7.23409,7.07451,7.44472,6.61218,6.89735
"38",10.8615,10.8315,10.4676,10.5887,10.4949,10.8074
"39",7.70419,7.81396,7.80838,7.93284,7.50503,7.37127
"40",8.78364,8.74934,9.09611,8.79166,8.62188,8.30741
"41",6.94145,7.14318,7.33013,7.03697,7.0477,6.76592
"42",7.02688,6.9214,7.28542,7.27561,6.59761,6.73686
"43",7.33815,7.20515,7.58166,7.46526,6.9888,7.02018
"44",8.95262,8.85746,9.21869,9.5344,8.71677,9.12765
"45",9.59376,9.00153,8.52366,7.93247,9.7887,8.28529
"46",6.81758,6.78598,6.94525,7.05018,6.70049,6.4605
"47",8.44615,8.40224,8.33124,7.97808,7.86552,7.98444
"48",5.92262,6.18246,6.13382,6.30215,6.34872,6.27266
"49",7.8211,7.72275,8.34033,7.89836,8.14747,8.03211
"50",7.28894,7.41489,7.50267,7.3436,7.04882,6.95185
"51",6.47186,6.30509,6.46559,6.3652,6.09593,5.899
"52",7.3284,7.32957,7.49808,7.31779,7.25402,6.96754
"53",7.56001,7.52949,7.71122,7.9778,7.52003,7.0215
"54",8.07057,7.94695,8.21323,8.16322,7.70918,7.49707
"55",7.03277,6.92362,6.90057,6.89397,6.25832,6.50154
"56",7.35926,7.30036,7.33473,7.73816,7.16016,7.24172
"57",8.45279,8.61312,8.69245,8.62773,8.18287,8.1342
"58",7.56293,7.59468,7.74657,7.86468,7.59629,7.98194
"59",7.87717,7.98443,8.40556,8.43051,8.84859,8.68573
"60",10.8685,10.9617,11.0921,11.0754,10.5496,10.573
"61",7.20978,7.04984,8.26634,8.82726,9.12677,8.96127
"62",11.5245,11.5587,11.2343,11.2419,11.0249,10.9369
"63",7.26251,7.26448,7.43219,7.26896,8.00172,7.98712
"64",6.42617,6.34809,6.25229,6.24628,5.72015,5.88376
"65",8.14077,8.02351,8.72129,8.99708,8.99776,9.14911
"66",7.15523,7.41013,8.2854,8.99768,7.28443,9.07262
"67",9.31954,9.54259,9.03184,9.32756,8.71886,9.40793
"68",8.80525,8.85216,8.80015,8.93806,9.11546,8.78722
"69",7.21281,7.15461,7.58513,7.46756,7.1832,7.23493
"70",7.42427,7.22878,7.18525,6.86612,6.95566,7.46172
"71",5.15164,4.98907,5.41204,5.3755,5.73133,6.49711
"72",9.71005,9.77828,9.61282,9.56155,9.81393,9.78468
"73",10.1603,10.328,10.0926,10.2465,10.8627,10.5702
"74",13.0118,12.9689,12.5791,12.9234,11.5648,12.4531
"75",7.99443,7.76077,7.74118,7.29666,7.73244,7.73925
"76",8.93494,8.97175,9.06879,9.07156,8.60342,8.73683
"77",11.4404,11.4114,11.0258,10.9708,10.99,10.5806
"78",5.39555,5.78547,6.1051,5.92196,5.516,5.34284
"79",9.98661,9.91481,9.94399,10.1347,9.10799,9.19459
"80",6.60367,6.87716,7.1075,7.14004,6.79503,6.66251
"81",7.86925,7.6991,8.54251,8.47226,8.2644,8.285
"82",7.25111,7.30778,7.54495,7.55709,7.44797,7.4045
"83",9.49179,10.0696,9.37871,9.33533,10.8313,11.1064
"84",9.53368,9.56555,10.722,10.5317,9.36029,9.46532
"85",7.29816,7.30003,7.36258,7.48456,7.05122,6.8548
"86",10.137,10.0317,9.94382,10.6468,9.9584,9.71627
"87",11.8829,11.9605,9.59047,8.14882,10.6602,9.8929
"88",10.5094,10.4126,10.5178,9.87511,10.5453,10.5464
