"","DE_Incr_ARHGEF10_cntrl","DE_decr_ARGHEF10_cntrl","FC_incr_ARHGEF10_cntrl","FC_decr_ARGHEF10_cntrl","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval","Symbol","n"
"7A5",-7.10000000000002,-225.1,0.975157452764171,0.361780550042529,285.8,0,278.7,0.41724,352.7,0.05517,127.6,0.39655,"7A5",1
"A1BG",204.5,-168.9,2.96069031639501,0.479667282809612,104.3,0.7931,308.8,0.09655,324.6,0.21034,155.7,0.02414,"A1BG",1
"A1CF",161.033333333333,-197.566666666667,2.48646153846154,0.384399667636061,108.333333333333,0.533336666666667,269.366666666667,0.631036666666667,320.933333333333,0.34138,123.366666666667,0.551726666666667,"A1CF",3
"A26C3",166.5,-165.9,2.60096153846154,0.452113606340819,104,0.79655,270.5,0.58621,302.8,0.46552,136.9,0.2069,"A26C3",1
"A2BP1",166.375,-188.825,2.49382716049383,0.405883741052466,111.375,0.4293125,277.75,0.4767225,317.825,0.3431025,129,0.41207,"A2BP1",4
"A2LD1",2925.3,-1992.6,21.8354700854701,0.0728211809594714,140.4,0,3065.7,0,2149.1,0,156.5,0.01724,"A2LD1",1
"A2M",-5927.5,430.8,0.0586189372042054,1.24484228473998,6296.6,0,369.1,0.00345,1759.5,0,2190.3,0,"A2M",1
"A2ML1",192.4,-123,2.74275362318841,0.498164014687882,110.4,0.45172,302.8,0.13793,245.1,1,122.1,0.58966,"A2ML1",1
"A3GALT2",186.1,-195.6,2.69876768598813,0.379441624365482,109.55,0.49483,295.65,0.21897,315.2,0.489655,119.6,0.62414,"A3GALT2",2
"A4GALT",248.3,-3507.3,2.53271604938272,0.315608718559135,162,0,410.3,0.00345,5124.7,0,1617.4,0,"A4GALT",1
"A4GNT",208.6,-197.2,2.95135640785781,0.388147688488985,106.9,0.67241,315.5,0.06207,322.3,0.22759,125.1,0.48966,"A4GNT",1
"AAA1",168.88,-189.2,2.49319186560566,0.4139874868364,113.1,0.38,281.98,0.417932,322.86,0.254482,133.66,0.306898,"AAA1",5
"AAAS",1101.2,-1422.1,8.2257217847769,0.178214388904941,152.4,0,1253.6,0,1730.5,0,308.4,0,"AAAS",1
"AACS",4464.6,-4952.9,17.578536947642,0.0759170118287996,269.3,0,4733.9,0,5359.8,0,406.9,0,"AACS",1
"AADAC",204,-748.6,2.57286044718581,0.323696810913362,129.7,0.00345,333.7,0.01724,1106.9,0,358.3,0,"AADAC",1
"AADACL1",8198.7,-9863.1,8.02695521748447,0.143087997011308,1166.75,0,9365.45,0,11510.05,0,1646.95,0,"AADACL1",2
"AADACL2",163,-165.4,2.31770412287793,0.435494880546075,123.7,0.02069,286.7,0.31034,293,0.63793,127.6,0.39655,"AADACL2",1
"AADACL4",202.8,-244.1,2.49337260677467,0.368434670116429,135.8,0,338.6,0.01379,386.5,0.01379,142.4,0.11034,"AADACL4",1
"AADAT",666.8,-1431.93333333333,5.61666282021694,0.0922000803026141,144.433333333333,0.296553333333333,811.233333333333,0.0896566666666667,1577.36666666667,0.0735633333333333,145.433333333333,0.210343333333333,"AADAT",3
"AAGAB",14107.4,-13188.1,16.6731474280635,0.0517820294356607,900.1,0,15007.5,0,13908.3,0,720.2,0,"AAGAB",1
"AAK1",4620.25,-3661.6,14.0460256953268,0.0579881656804734,354.15,0.010345,4974.4,0.006895,3887,0.07931,225.4,0.46207,"AAK1",2
"AAMP",7222.7,-8911.8,13.7722369584439,0.107606344628695,565.5,0,7788.2,0,9986.4,0,1074.6,0,"AAMP",1
"AANAT",123,-124.8,2.05038428693424,0.503579952267303,117.1,0.13793,240.1,0.97586,251.4,0.9931,126.6,0.44828,"AANAT",1
"AARS",24282.5,-27778.4,5.75707708884318,0.147852175433538,5104.5,0,29387,0,32598.1,0,4819.7,0,"AARS",1
"AARS2",7143.9,-7061.2,8.3572605561277,0.169045741788955,971,0,8114.9,0,8497.7,0,1436.5,0,"AARS2",1
"AARSD1",11811.4,-10929.2,11.3545191549049,0.202224882478321,1140.7,0,12952.1,0,13699.6,0,2770.4,0,"AARSD1",1
"AASDH",11417.8,-11478.9,36.5362589480237,0.0309157373090983,321.3,0,11739.1,0,11845.1,0,366.2,0,"AASDH",1
"AASDHPPT",7542.4,-9883.7,4.52844311377246,0.179878023482554,2137.6,0,9680,0,12051.5,0,2167.8,0,"AASDHPPT",1
"AASS",1065.3,-2772.5,7.14537063743871,0.136023683390464,173.35,0.118965,1238.65,0.031035,3209,0.00517,436.5,0.17931,"AASS",2
"AATF",17004.5,-17052.7,5.57356105433028,0.3186850506011,3718,0,20722.5,0,25029.1,0,7976.4,0,"AATF",1
"AATK",387.1,-181.95,3.88880597014925,0.406168407310705,134,0.006895,521.1,0,306.4,0.41724,124.45,0.531035,"AATK",2
"ABAT",2981.76666666667,-555.166666666667,11.6962812387899,0.197620079973021,278.766666666667,0.16092,3260.53333333333,0.0885066666666667,691.9,0.190803333333333,136.733333333333,0.228736666666667,"ABAT",3
"ABCA1",7892.1,-6330.4,3.82729096510711,0.500619256103814,2791.4,0,10683.5,0,12676.5,0,6346.1,0,"ABCA1",1
"ABCA10",920.25,-886.5,5.31940858953297,0.172268907563025,213.05,0,1133.3,0,1071,0,184.5,0.018965,"ABCA10",2
"ABCA11",1094.1,-1946.2,9.85910931174089,0.0764923602543418,123.5,0.02069,1217.6,0,2107.4,0,161.2,0.01724,"ABCA11",1
"ABCA12",166.15,-364.45,2.46840477242598,0.25637624974495,113.15,0.324135,279.3,0.437935,490.1,0.00862,125.65,0.468965,"ABCA12",2
