"Symbol","n","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval"
"7A5",1,285.8,0,278.7,0.41724,352.7,0.05517,127.6,0.39655
"A1BG",1,104.3,0.7931,308.8,0.09655,324.6,0.21034,155.7,0.02414
"A1CF",3,108.333333333333,0.533336666666667,269.366666666667,0.631036666666667,320.933333333333,0.34138,123.366666666667,0.551726666666667
"A26C3",1,104,0.79655,270.5,0.58621,302.8,0.46552,136.9,0.2069
"A2BP1",4,111.375,0.4293125,277.75,0.4767225,317.825,0.3431025,129,0.41207
"A2LD1",1,140.4,0,3065.7,0,2149.1,0,156.5,0.01724
"A2M",1,6296.6,0,369.1,0.00345,1759.5,0,2190.3,0
"A2ML1",1,110.4,0.45172,302.8,0.13793,245.1,1,122.1,0.58966
"A3GALT2",2,109.55,0.49483,295.65,0.21897,315.2,0.489655,119.6,0.62414
"A4GALT",1,162,0,410.3,0.00345,5124.7,0,1617.4,0
"A4GNT",1,106.9,0.67241,315.5,0.06207,322.3,0.22759,125.1,0.48966
"AAA1",5,113.1,0.38,281.98,0.417932,322.86,0.254482,133.66,0.306898
"AAAS",1,152.4,0,1253.6,0,1730.5,0,308.4,0
"AACS",1,269.3,0,4733.9,0,5359.8,0,406.9,0
"AADAC",1,129.7,0.00345,333.7,0.01724,1106.9,0,358.3,0
"AADACL1",2,1166.75,0,9365.45,0,11510.05,0,1646.95,0
"AADACL2",1,123.7,0.02069,286.7,0.31034,293,0.63793,127.6,0.39655
"AADACL4",1,135.8,0,338.6,0.01379,386.5,0.01379,142.4,0.11034
"AADAT",3,144.433333333333,0.296553333333333,811.233333333333,0.0896566666666667,1577.36666666667,0.0735633333333333,145.433333333333,0.210343333333333
"AAGAB",1,900.1,0,15007.5,0,13908.3,0,720.2,0
"AAK1",2,354.15,0.010345,4974.4,0.006895,3887,0.07931,225.4,0.46207
"AAMP",1,565.5,0,7788.2,0,9986.4,0,1074.6,0
"AANAT",1,117.1,0.13793,240.1,0.97586,251.4,0.9931,126.6,0.44828
"AARS",1,5104.5,0,29387,0,32598.1,0,4819.7,0
"AARS2",1,971,0,8114.9,0,8497.7,0,1436.5,0
"AARSD1",1,1140.7,0,12952.1,0,13699.6,0,2770.4,0
"AASDH",1,321.3,0,11739.1,0,11845.1,0,366.2,0
"AASDHPPT",1,2137.6,0,9680,0,12051.5,0,2167.8,0
"AASS",2,173.35,0.118965,1238.65,0.031035,3209,0.00517,436.5,0.17931
"AATF",1,3718,0,20722.5,0,25029.1,0,7976.4,0
"AATK",2,134,0.006895,521.1,0,306.4,0.41724,124.45,0.531035
"ABAT",3,278.766666666667,0.16092,3260.53333333333,0.0885066666666667,691.9,0.190803333333333,136.733333333333,0.228736666666667
"ABCA1",1,2791.4,0,10683.5,0,12676.5,0,6346.1,0
"ABCA10",2,213.05,0,1133.3,0,1071,0,184.5,0.018965
"ABCA11",1,123.5,0.02069,1217.6,0,2107.4,0,161.2,0.01724
"ABCA12",2,113.15,0.324135,279.3,0.437935,490.1,0.00862,125.65,0.468965
"ABCA13",1,108.5,0.56207,288.7,0.28276,1459.7,0,150,0.05517
"ABCA2",2,208.1,0.20517,2199.65,0.001725,2841.7,0.01724,344,0.17414
"ABCA3",1,438.2,0,7580.3,0,4751.5,0,367.9,0
"ABCA4",1,142.4,0,572.1,0,636.5,0,130.7,0.32414
"ABCA5",3,137.333333333333,0.12414,1028.3,0,1638.73333333333,0,272.466666666667,0.21839
"ABCA6",2,140.5,0.001725,373.35,0.00862,6250.9,0,847.8,0
"ABCA7",3,127.666666666667,0.14368,1773.93333333333,0.00459666666666667,963.633333333333,0.04253,130.533333333333,0.489653333333333
"ABCA8",2,186.1,0.001725,917.7,0,371.4,0.02931,145.35,0.07414
"ABCA9",2,121.9,0.031035,304.65,0.131035,557.7,0.02414,186.6,0.00862
"ABCB1",2,113.5,0.27069,307.6,0.446555,325.95,0.434485,126.2,0.47931
"ABCB10",1,2668.6,0,10068.4,0,9763.9,0,3672.3,0
"ABCB11",1,113.4,0.26552,284.7,0.33448,293.3,0.63448,116.1,0.86552
"ABCB4",1,110.1,0.48276,331.4,0.01724,344.8,0.09655,143.1,0.1069
"ABCB5",1,101.9,0.88966,302.4,0.13793,310.6,0.35517,117.9,0.75862
"ABCB6",1,556.9,0,7399.5,0,12241.8,0,1900.9,0
"ABCB7",1,457.7,0,7136.2,0,7428.7,0,471.2,0
"ABCB8",1,200.7,0,3719.9,0,6490.1,0,434.3,0
"ABCB9",3,227.866666666667,0.16207,2314.33333333333,0.0563233333333333,1318.13333333333,0.0252866666666667,164.533333333333,0.209193333333333
"ABCC1",2,202.1,0,3900.85,0,18756.75,0,1619.65,0
"ABCC10",1,473.2,0,2660.9,0,5320.5,0,942,0
"ABCC11",3,115.133333333333,0.333333333333333,357.766666666667,0.02069,433.366666666667,0.02069,135.166666666667,0.283906666666667
"ABCC12",1,110.8,0.41034,274.9,0.50345,285.7,0.74828,130.7,0.32414
"ABCC13",2,113.9,0.470685,303,0.17586,326.4,0.24138,125.6,0.467245
"ABCC2",1,180.3,0,4266.6,0,803.8,0,120,0.66552
"ABCC3",1,169.9,0,932.5,0,4381.7,0,175.4,0.00345
"ABCC4",2,648.6,0,4470,0,3981.75,0,454.8,0
"ABCC5",3,515.733333333333,0,7300.63333333333,0,7933.8,0,873.533333333333,0
"ABCC6",5,124.38,0.217242,371.08,0.346894,629.22,0.188964,134.16,0.432414
"ABCC6P1",1,109.4,0.5,361.7,0.00345,311.9,0.33793,112.2,0.94138
"ABCC6P2",1,125.4,0.01724,365.3,0.00345,398.6,0.01034,140.6,0.13793
"ABCC8",1,116.3,0.15172,1204.6,0,274.8,0.87931,124.8,0.49655
"ABCC9",3,121.933333333333,0.1977,302.266666666667,0.166666666666667,396.433333333333,0.310346666666667,135.2,0.24368
"ABCD1",1,390.2,0,2715,0,9119.5,0,2452.8,0
"ABCD2",2,111.65,0.44138,279.55,0.408625,340.3,0.129315,122.95,0.56379
"ABCD3",1,148.1,0,3722.4,0,3705.5,0,145.3,0.07586
"ABCD4",2,143.9,0.010345,642.8,0,718.15,0.00345,190.55,0.03793
"ABCE1",2,613.75,0,11653.05,0,13007.4,0,740.95,0.001725
"ABCF1",2,4743.75,0,18308.25,0,18868.4,0,4540.55,0
"ABCF2",3,864.733333333333,0,8881.43333333333,0,10153.8333333333,0.00344666666666667,2257.03333333333,0.1023
"ABCF3",1,346.7,0,6628.2,0,12663.6,0,1294.5,0
"ABCG1",6,355.65,0.492528333333333,1730.3,0.266091666666667,3376.21666666667,0.16839,1412.73333333333,0.344251666666667
"ABCG2",1,124.3,0.02069,367.1,0.00345,6202.5,0,936.1,0
"ABCG4",1,154.1,0,1998.7,0,591.7,0,145.5,0.07241
"ABCG5",1,115.2,0.17586,292.5,0.22414,343.2,0.1069,136.2,0.22414
"ABCG8",1,119.5,0.08276,297,0.17241,306.3,0.4,116.3,0.84828
"ABHD1",1,114.5,0.21379,320.9,0.02759,325.2,0.21034,136.5,0.21724
"ABHD10",1,1254.7,0,20809.3,0,19177.5,0,1510.4,0
"ABHD11",3,190.633333333333,0,7928.33333333333,0,4658.46666666667,0,206.766666666667,0.01494
"ABHD12",3,673.966666666667,0,7663.7,0,12075.0666666667,0,2045.96666666667,0
"ABHD12B",3,114.166666666667,0.320686666666667,293,0.233333333333333,339.3,0.263216666666667,126.4,0.5023
"ABHD13",2,150.95,0,1590.25,0,1676.65,0,165.45,0.031035
"ABHD14A",1,262,0,3878.2,0,7644.5,0,927.3,0
"ABHD14B",1,686.5,0,13700.1,0,17486.9,0,2004.7,0
"ABHD15",1,872.6,0,8554.3,0,8547.2,0,1583.2,0
"ABHD2",3,136.933333333333,0.0137933333333333,989.5,0,3226.46666666667,0,291.933333333333,0
"ABHD3",1,1269.5,0,11032.7,0,10154.9,0,1070.3,0
"ABHD4",1,315.9,0,7674.4,0,15359.6,0,2590.7,0
"ABHD5",1,203.1,0,8068.1,0,9912.1,0,210.7,0
"ABHD6",1,1307.3,0,11752.7,0,14721.9,0,3072.1,0
"ABHD7",1,763.5,0,7230.7,0,8684.6,0,1379,0
"ABHD8",1,128.8,0.00345,3331.2,0,3484.2,0,172.9,0.0069
