"","GSM1385013.REP1","GSM1385014.REP2","GSM1385015.REP2","GSM1385016.CTRL","GSM1385017.CBD"
"APOBEC3B",0.78307759,-1.3045475,-1.14833464,9.4558,9.933702
"ATP11B",1.34389721,0.1144673,0.50078043,5.8743,6.175588
"DNAJA1",0.50065999,0.5446841,0.77750226,12.3994,12.270819
"RPL23",-0.43799284,0.2991079,0.06401809,14.6032,14.570065
"RPS13",-0.2308213,0.0926004,-0.00706945,14.7999,14.696175
"HDDC3",-0.77624961,-0.5213366,-0.49900491,9.6207,9.878632
"ITPRIPL2",0.30379997,1.2611559,1.00445053,10.0948,9.92448
"MEGF11",-0.08098935,-0.3581799,0.31684191,3.6971,3.313889
"APBA3",-0.45227386,-1.0526728,-1.33091701,5.9968,6.158736
"CRCP",-0.81583604,-0.1112549,0.92541629,6.2316,6.086622
"C19orf15",0.11261001,-0.5933898,0.20219602,3.4544,3.61357
"KBTBD4",0.07373443,-0.2497345,0.03705096,8.1064,7.817339
"LRP1",0.00503608,-0.1022007,-0.00972477,5.5677,5.964528
"TSC1",0.80915134,0.4923473,0.37699442,8.4524,8.059438
"ADORA3",-0.22334844,-0.6051327,0.25756534,3.2249,3.452668
"GOLGA3",0.34993866,0.6170353,0.65795207,9.9223,10.096005
"CDH6",0.17790717,-0.5016318,0.4195704,3.4544,3.490365
"VASH1",0.13374682,-0.0365655,-0.21375701,6.2384,5.982467
"SRF",-0.94862064,-0.7240873,-0.91979987,5.5008,5.304616
"BBX",0.05332363,-0.8571524,0.56828633,6.9946,6.68036
"SLC7A1",-0.09339365,-0.7921155,-0.74221444,9.7643,10.080657
"MAB21L2",0.41086873,0.7476526,0.06222379,4.3616,4.339804
"EPHA2",-0.96746346,-0.0397148,0.63382795,9.0103,9.110337
"SYT2",-0.60952197,-0.2069982,-0.50644377,4.8333,4.856294
"TMEM97",-0.14608885,-0.2210906,-0.02745082,8.5933,8.366731
"SET",-0.65113614,1.0765593,0.53962834,10.2758,10.225903
"SP5",-0.15431773,-1.2985075,-1.78233459,4.9886,5.007605
"IFNG",0.13932138,-0.2343012,1.07175923,3.366,3.490365
"OR8D1",-1.03540971,-1.37591,0.34544919,3.4886,3.61357
"BOK",-0.74271243,-0.0700829,-0.14877481,9.3443,9.531994
"C6orf120",-0.30180639,-0.2845916,-0.67859525,7.1474,7.243073
"NLE1",-1.53700636,-0.9140165,-1.29351713,9.8766,10.056567
"RRM1",0.99644295,1.5036523,1.18283368,12.1079,12.252704
"UBE2K",0.67283605,0.8610473,0.68330744,9.2462,8.986435
"C1orf115",-0.18960023,-0.4525758,0.18145408,4.3944,4.600213
"HSPD1",-0.72653832,0.2434725,0.96380399,8.7539,8.972031
"ATP6V1C2",-0.68728158,-0.4986619,0.40679792,5.7746,5.988409
"NRL",-1.12035823,-1.6623896,-1.70744644,4.3412,4.613079
"BRD3",0.65505229,-0.0731757,-0.16099178,8.8549,8.876446
